name,omega1_1,phi1_1,d_1,r1_1,translate_x_1,translate_y_1,translate_z_1,rotate_phi_1,rotate_theta_1,rotate_psi_1,length_1,rmsd_1,omega1_2,phi1_2,d_2,r1_2,translate_x_2,translate_y_2,translate_z_2,rotate_phi_2,rotate_theta_2,rotate_psi_2,length_2,rmsd_2
loop_24573,1.75,2.13,1.51,2.26,0.29,-0.13,-9.06,-0.05,-0.06,0.00,16.00,0.47,1.75,1.68,1.51,2.26,11.35,-3.94,-10.96,-2.69,-0.41,1.46,17.00,0.46
loop_24574,1.75,2.10,1.51,2.26,0.14,0.07,-9.09,0.01,-0.03,-0.00,16.00,0.20,1.75,-1.69,1.51,2.26,10.92,7.70,-9.76,2.73,-0.45,-1.65,17.00,0.22
loop_24575,1.75,2.05,1.51,2.26,0.32,-0.15,-9.04,-0.05,-0.07,0.00,17.00,0.59,1.75,-15.57,1.51,2.26,1.86,-11.80,-8.98,-2.87,-0.15,1.04,17.00,0.08
loop_24576,1.75,2.08,1.51,2.26,0.16,-0.13,-9.09,-0.05,-0.04,0.00,16.00,0.35,1.75,-1.14,1.51,2.26,10.69,-7.65,-10.15,-3.02,-0.46,2.65,17.00,0.15
loop_24577,1.75,2.07,1.51,2.26,-0.00,0.04,-9.05,0.01,0.00,0.00,16.00,0.11,1.75,1.14,1.51,2.26,6.78,8.88,-5.94,2.69,0.21,0.86,17.00,0.12
loop_24578,1.75,2.17,1.51,2.26,0.12,-0.01,-9.00,-0.00,-0.02,0.00,16.00,0.31,1.75,2.52,1.51,2.26,-3.41,8.67,-5.20,-2.98,0.47,-2.49,17.00,0.14
loop_24579,1.75,2.12,1.51,2.26,0.00,0.03,-9.04,0.01,0.01,0.00,16.00,0.14,1.75,-0.46,1.51,2.26,7.62,7.69,-10.39,2.97,-0.01,-0.12,17.00,0.47
loop_2458,1.75,2.13,1.51,2.26,0.16,-0.01,-9.02,-0.01,-0.03,0.00,17.00,0.25,1.75,0.14,1.51,2.26,3.18,-9.26,-7.36,-2.85,0.22,-1.29,17.00,0.16
loop_24580,1.75,2.04,1.51,2.26,-0.04,0.00,-9.14,-0.00,0.01,-0.00,16.00,0.24,1.75,-0.73,1.51,2.26,10.32,3.10,-5.65,3.01,-0.09,-1.25,17.00,0.12
loop_24581,1.75,2.04,1.51,2.26,0.13,-0.11,-9.14,-0.03,-0.03,0.00,17.00,0.36,1.75,-1.51,1.51,2.26,5.62,-10.88,-10.63,-2.90,-0.57,2.34,17.00,0.05
loop_24582,1.75,0.38,1.51,2.26,0.07,-0.02,-10.51,-0.01,-0.01,0.00,18.00,0.16,1.75,-1.31,1.51,2.26,-10.84,2.12,-15.51,2.73,0.55,1.87,17.00,0.22
loop_24583,1.75,2.10,1.51,2.26,0.04,0.04,-9.04,0.01,-0.01,-0.00,17.00,0.07,1.75,1.72,1.51,2.26,5.13,-7.75,-7.73,-2.98,-0.04,0.52,17.00,0.18
loop_24584,1.75,2.12,1.51,2.26,-0.01,0.03,-9.06,0.01,0.01,0.00,16.00,0.13,1.75,-2.27,1.51,2.26,0.84,9.04,-4.01,-2.96,0.12,-1.12,17.00,0.24
loop_24585,1.75,2.11,1.51,2.26,0.03,-0.03,-9.06,-0.01,-0.01,0.00,16.00,0.09,1.75,1.44,1.51,2.26,3.54,11.16,-7.96,2.57,0.49,1.41,17.00,0.14
loop_24586,1.75,2.12,1.51,2.26,0.18,-0.13,-9.09,-0.04,-0.04,0.00,16.00,0.30,1.75,-0.23,1.51,2.26,9.73,3.02,-10.59,3.07,-0.00,-0.12,17.00,0.19
loop_24587,1.75,2.13,1.51,2.26,0.01,0.04,-9.05,0.01,-0.00,-0.00,16.00,0.13,1.75,1.86,1.51,2.26,5.16,8.92,-5.49,3.04,0.20,2.16,17.00,0.19
loop_24588,1.75,2.08,1.51,2.26,0.07,0.04,-9.10,0.00,-0.01,-0.00,16.00,0.15,1.75,1.43,1.51,2.26,0.79,12.06,-3.82,2.64,0.43,1.42,17.00,0.07
loop_24589,1.75,2.10,1.51,2.26,0.04,0.02,-9.05,0.01,-0.01,-0.00,17.00,0.06,1.75,-0.13,1.51,2.26,3.59,-9.93,-8.04,-2.72,0.26,-1.09,17.00,0.16
loop_2459,1.75,2.06,1.51,2.26,-0.05,0.08,-9.08,0.02,0.02,0.00,16.00,0.23,1.75,1.89,1.51,2.26,0.85,11.28,-6.16,2.78,0.60,2.07,17.00,0.22
loop_24590,1.75,2.16,1.51,2.26,0.04,-0.02,-9.04,-0.01,-0.01,0.00,17.00,0.24,1.75,-1.72,1.51,2.26,2.91,-10.02,-7.61,-2.72,0.34,-1.35,17.00,0.55
loop_24591,1.75,2.04,1.51,2.26,-0.05,-0.08,-9.06,-0.02,0.01,-0.00,16.00,0.21,1.75,1.11,1.51,2.26,6.49,9.62,-8.35,2.45,0.28,0.75,17.00,0.13
loop_24592,1.75,2.10,1.51,2.26,-0.12,0.38,-9.10,0.08,0.02,0.00,17.00,0.55,1.75,1.47,1.51,2.26,8.45,-8.58,-11.97,-2.58,-0.20,0.68,17.00,0.15
loop_24593,1.75,2.10,1.51,2.26,0.03,-0.00,-9.04,-0.00,-0.00,0.00,17.00,0.06,1.75,9.00,1.51,2.26,5.92,-9.67,-7.95,-2.87,-0.19,1.20,17.00,0.11
loop_24594,1.75,2.10,1.51,2.26,0.10,0.04,-9.07,-0.00,-0.02,0.00,16.00,0.18,1.75,1.26,1.51,2.26,8.32,7.63,-6.11,2.56,0.07,0.23,17.00,0.24
